id,emergency_flag,end_time,imbalance_price_flag,imbalance_price_tag,net_imbalance_volume,net_imbalance_volume_tag,no_marginal_flag,participant_name,pboa,price_average_reference_tag,qboa,rank,resource_name,row_id,so_flag,start_time,trade_date,from_file,uploaded_date
7143236,1,2022-04-25T12:20:00,0,0,19.358,1,0,PT_500045,250.07,0,3.852,13,GU_500822,28,0,2022-04-25T12:15:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251215.xml,2022-04-26 01:00:00.437257
7143208,1,2022-04-25T13:45:00,0,0.14,19.178,1,0,PT_500045,250.07,0.14,5.36,15,GU_500822,30,1,2022-04-25T13:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251340.xml,2022-04-26 01:00:00.437257
7143207,1,2022-04-25T13:45:00,0,0.14,19.178,1,0,PT_500045,250.07,0.14,5.36,15,GU_500822,29,1,2022-04-25T13:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251340.xml,2022-04-26 01:00:00.437257
7143206,1,2022-04-25T13:45:00,0,0,19.178,1,0,PT_500045,250.07,0,2.39,14,GU_500822,28,1,2022-04-25T13:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251340.xml,2022-04-26 01:00:00.437257
7143205,1,2022-04-25T13:45:00,0,0,19.178,1,0,PT_500045,250.07,0,2.39,14,GU_500822,27,1,2022-04-25T13:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251340.xml,2022-04-26 01:00:00.437257
7143178,1,2022-04-25T11:15:00,0,0.8,14.653,1,0,PT_500045,250.07,0.8,5.36,14,GU_500822,27,0,2022-04-25T11:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251110.xml,2022-04-26 01:00:00.437257
7143177,1,2022-04-25T11:15:00,0,0,14.653,1,0,PT_500045,250.07,0,2.39,13,GU_500822,26,0,2022-04-25T11:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251110.xml,2022-04-26 01:00:00.437257
7143151,1,2022-04-25T13:00:00,0,0.43,16.591,1,0,PT_500045,250.07,0.43,7.75,15,GU_500822,28,1,2022-04-25T12:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251255.xml,2022-04-26 01:00:00.437257
7143150,1,2022-04-25T13:00:00,0,0.43,16.591,1,0,PT_500045,250.07,0.43,7.75,15,GU_500822,27,1,2022-04-25T12:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251255.xml,2022-04-26 01:00:00.437257
7143123,1,2022-04-25T13:10:00,0,1,14.149,1,0,PT_500045,250.07,1,1.434,19,GU_500822,34,0,2022-04-25T13:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251305.xml,2022-04-26 01:00:00.437257
7143122,1,2022-04-25T13:10:00,0,1,14.149,1,0,PT_500045,250.07,1,1.434,19,GU_500822,33,0,2022-04-25T13:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251305.xml,2022-04-26 01:00:00.437257
7143121,1,2022-04-25T13:10:00,0,0.69,14.149,1,0,PT_500045,250.07,0.69,6.316,18,GU_500822,32,0,2022-04-25T13:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251305.xml,2022-04-26 01:00:00.437257
